event	Eta	Phi	pT
84202	-0.0927807	1.1912	1.59857
84202	0.205643	0.748453	1.76557
84202	0.0712439	0.829201	12.7186
84202	0.330915	0.819166	16.7434
84202	0.128368	0.878308	7.54401
84202	0.0179617	1.00991	3.38515e-05
84202	0.0808483	0.946519	2.05518e-05
84202	0.334695	1.31687	4.65499
84202	0.243073	1.33381	3.6255
84202	0.263668	1.25165	10.8357
84202	0.275604	0.958178	8.11584e-05
84202	0.310352	1.2253	7.09451e-05
84202	0.180111	1.22082	4.31653e-05
84202	0.121037	1.0835	4.88887e-05
84202	0.146992	1.02453	4.8241e-05
84202	0.286646	0.985236	6.4361e-05
84202	0.269068	1.02014	4.27043e-05
84202	0.203998	1.03168	0.000123686
84202	0.202687	1.09378	16.7135
84202	0.28375	1.16543	9.59466e-05
84202	0.304979	1.16031	5.2549e-05
84202	0.289941	1.13018	2.51855
84202	0.288703	1.10177	10.0971
84202	0.275191	1.11523	9.84766
