event	Eta	Phi	pT
91028	-0.683243	2.36666	3.92146
91028	-0.56246	1.92275	5.55408
91028	-0.721782	1.89573	5.89434
91028	-0.571921	2.12365	5.68583e-05
91028	-0.590567	1.96036	2.27824e-05
91028	-0.624224	2.15834	5.5467
91028	-0.664451	1.928	3.05223
91028	-0.60985	2.01444	7.74905e-05
91028	-0.682182	1.96413	2.81602
91028	-0.685798	1.95986	12.5979
91028	-0.64235	2.00598	0.000239988
91028	-0.667805	2.16066	2.90185e-05
91028	-0.659705	2.00535	1.682
91028	-0.632868	2.05503	7.39945e-05
91028	-0.738773	2.01859	5.35812e-05
91028	-0.760773	2.07808	8.32459
91028	-0.751295	2.057	9.39145
91028	-0.692938	2.08548	33.2121
