event	Eta	Phi	pT
19891	-1.6134	5.68055	1.89727
19891	-1.14332	5.82129	1.50168
19891	-1.47879	5.26176	3.10382
19891	-0.988836	5.55059	3.37743
19891	-1.38499	5.26903	1.73688
19891	-1.09456	5.64229	1.01106
19891	-1.26805	5.69702	6.15648
19891	-1.14019	5.64532	3.57398
19891	-1.34923	5.31491	7.22176e-05
19891	-1.22744	5.32917	3.61757
19891	-1.4386	5.46476	4.08006e-05
19891	-1.17003	5.43935	2.17803
19891	-1.31571	5.60356	2.44453
19891	-1.18601	5.50757	4.26797
19891	-1.34211	5.58889	2.63576e-05
19891	-1.30064	5.58	5.87055e-05
19891	-1.31318	5.56212	2.36107
19891	-1.38222	5.49986	3.19826
19891	-1.36909	5.47253	5.5416
19891	-1.25159	5.51735	0.000137451
19891	-1.27677	5.46979	22.482
