event	Eta	Phi	pT
140392	-1.78818	4.4607	0.92891
140392	-1.69076	4.4727	3.81671
140392	-1.46607	4.48076	2.1868
140392	-1.29727	4.60467	0.971924
140392	-1.46756	4.92691	10.5122
140392	-1.45341	4.97791	3.52659
140392	-1.5807	4.53539	5.32029
140392	-1.38879	4.68646	2.67177e-05
140392	-1.71016	4.67288	3.94384
140392	-1.5721	4.61987	3.27519e-05
140392	-1.43349	4.72742	2.7002e-05
140392	-1.43093	4.76035	4.89241e-05
140392	-1.65052	4.67171	3.50873e-05
140392	-1.52198	4.83855	3.45012
140392	-1.65249	4.75668	2.56992e-05
140392	-1.62777	4.72795	1.42905
140392	-1.58879	4.7778	4.37162
140392	-1.57265	4.79078	5.42042
140392	-1.58685	4.72406	1.37252
140392	-1.57237	4.70874	3.91339
