event	Eta	Phi	pT
14365	0.107403	4.10036	2.24532e-05
14365	-0.105699	4.59116	3.62576
14365	-0.0626107	4.53225	2.06446e-05
14365	-0.11629	4.16201	19.7655
14365	-0.146051	4.23889	9.54744e-05
14365	-0.322576	4.34578	10.4631
14365	-0.270553	4.30182	6.86024
14365	-0.133789	4.4085	2.98592
14365	-0.253076	4.39592	2.54144
14365	-0.164985	4.41326	5.03701
14365	-0.172804	4.28234	0.000229651
14365	-0.140641	4.30851	5.33202e-05
14365	-0.229155	4.2949	0.000101673
14365	-0.167681	4.29758	3.11797e-05
14365	-0.238512	4.34933	4.65514
14365	-0.180517	4.38104	5.56129
14365	-0.173411	4.35016	16.6118
14365	-0.202855	4.33018	0.000239686
14365	-0.201457	4.33687	25.9358
