event	Eta	Phi	pT
115964	1.09259	4.50111	2.03008e-05
115964	0.911707	4.54484	1.03282
115964	0.780115	4.24499	1.37578
115964	1.09672	4.31773	1.20357
115964	0.999608	4.46919	10.1797
115964	0.930293	4.46705	4.83989
115964	0.90327	4.45041	5.10621
115964	1.03247	4.40093	9.91534e-05
115964	0.968728	4.42808	1.2482
115964	0.893353	4.42367	1.60226
115964	0.994318	4.38491	4.92015e-05
115964	0.989975	4.38284	5.41023
115964	0.881374	4.38125	7.19588e-05
115964	0.918569	4.37101	2.30066
115964	1.00139	4.27525	4.85959
115964	0.921482	4.34708	6.67171e-05
115964	0.951589	4.31122	0.000164234
115964	0.962293	4.23513	5.2204e-05
115964	0.908376	4.26329	25.6029
