event	Eta	Phi	pT
73775	1.40412	1.77733	1.18586
73775	1.8082	1.91566	2.87624e-05
73775	1.80706	1.93522	5.34139e-05
73775	1.81058	1.92944	8.52127
73775	1.7832	1.21748	0.934258
73775	1.99602	1.73536	3.82145
73775	1.94497	1.37801	3.30153e-05
73775	1.48456	1.49591	8.2844
73775	1.99216	1.52504	4.26481
73775	1.63238	1.34408	2.5044
73775	1.92707	1.59472	2.91836e-05
73775	1.79473	1.73207	0.000168164
73775	1.62187	1.49345	10.3004
73775	1.67723	1.69675	2.29607
73775	1.70976	1.68603	2.11016
73775	1.7113	1.67847	3.63945
73775	1.76472	1.66445	1.16914
73775	1.70809	1.63911	2.65695
73775	1.77836	1.5085	11.6619
73775	1.81905	1.59937	4.22078e-05
73775	1.7698	1.63973	3.10534e-05
73775	1.81297	1.59103	3.7304e-05
73775	1.74837	1.53593	8.4775
73775	1.76454	1.55168	10.397
73775	1.75959	1.5989	22.0116
73775	1.75183	1.57763	35.5817
