event	Eta	Phi	pT
19080	2.01653	1.05577	1.37497
19080	2.32635	1.0941	2.06533e-05
19080	2.04743	1.06448	0.63027
19080	2.09868	1.08365	3.88853
19080	2.38276	1.41357	1.19627
19080	2.24884	1.13421	0.469898
19080	2.24333	1.16032	1.02433
19080	2.34622	1.30267	1.40218
19080	2.03962	1.5027	4.64047
19080	2.2554	1.46483	2.80827
19080	2.30524	1.3249	1.52156
19080	2.23591	1.21696	1.05507
19080	2.1389	1.18167	1.7136
19080	2.13082	1.38961	0.000114707
19080	2.06826	1.43465	4.76216e-05
19080	2.12066	1.40473	2.17246e-05
19080	2.09723	1.41539	9.48959
19080	2.06179	1.32635	6.1712
19080	2.19282	1.39379	5.68918e-05
19080	2.10413	1.26168	1.26217
19080	2.17261	1.29051	7.70831
19080	2.12424	1.3547	3.37908
19080	2.1547	1.3348	6.06523
