event	Eta	Phi	pT
124420	-0.391511	1.82114	2.29813e-05
124420	-0.330285	1.84846	3.66329e-05
124420	-0.350238	1.8479	9.80192
124420	-0.00994968	2.32875	2.61322
124420	-0.197465	2.47786	1.71392
124420	-0.0220147	2.26659	5.87033
124420	-0.107864	2.07561	4.96833
124420	-0.123053	2.27448	6.35283
124420	-0.123473	2.18504	3.89823
124420	-0.26223	2.07493	2.90536
124420	-0.26135	2.1246	10.8977
124420	-0.308581	2.25436	1.07926
124420	-0.333701	2.21415	7.64574e-05
124420	-0.354938	2.16619	0.000189437
124420	-0.346776	2.17283	30.5187
124420	-0.389968	2.22464	1.75966
124420	-0.381059	2.25816	20.8171
