event	Eta	Phi	pT
186051	-1.68387	0.187725	11.8453
186051	-1.61553	0.342495	2.65114
186051	-1.66394	0.383198	3.30985e-05
186051	-1.6426	0.553877	3.00098e-05
186051	-1.65279	0.53439	3.66349e-05
186051	-1.66031	0.556463	7.84519
186051	-1.74246	0.355264	18.7821
186051	-1.89092	0.651363	37.5607
186051	-1.93397	0.40459	12.9201
186051	-1.88154	0.536146	5.4996e-05
186051	-1.85574	0.503056	3.58084
186051	-1.89406	0.52652	0.000332144
186051	-1.93726	0.485845	0.000157739
186051	-1.87005	0.491211	2.66393e-05
186051	-1.88934	0.496372	2.59054
186051	-1.90067	0.47673	77.3263
