event	Eta	Phi	pT
146098	2.2098	4.2119	1.48343
146098	2.2559	4.25949	4.56244
146098	2.55419	4.55554	6.59918
146098	2.376	4.39777	5.10052
146098	2.49932	4.58828	2.81401
146098	2.17508	4.3665	0.525261
146098	2.04489	4.46108	5.33672
146098	2.3801	4.45341	2.37559
146098	2.27933	4.41201	1.37045
146098	1.97941	4.67012	0.633168
146098	2.27792	4.87259	7.99957
146098	2.1321	4.4488	1.50027
146098	2.01656	4.58948	0.676605
146098	2.10901	4.48336	2.26056
146098	2.18492	4.49509	1.69279
146098	2.27312	4.51308	1.81366
146098	2.37149	4.61418	3.70436
146098	2.37723	4.64628	4.8572
146098	2.33789	4.61815	1.06774
146098	2.2905	4.56563	1.98519
146098	2.27955	4.69375	3.34837
146098	2.09448	4.62633	2.48273e-05
146098	2.16736	4.59669	2.6744e-05
146098	2.13309	4.76279	1.25778
146098	2.23974	4.63584	8.06277e-05
146098	2.20234	4.75469	3.62167
146098	2.164	4.74065	3.55892
146098	2.23929	4.67392	9.91811e-05
146098	2.21427	4.64864	0.560573
146098	2.17334	4.67367	27.2113
