event	Eta	Phi	pT
89153	2.08336	0.920521	1.06522
89153	1.57019	1.26375	7.33616
89153	1.83126	0.992268	4.93806
89153	1.71357	1.08331	9.29299
89153	1.82588	1.02269	5.19635
89153	1.96846	0.9954	2.05461
89153	2.23496	1.21021	0.86267
89153	2.18191	1.47441	0.802715
89153	1.83892	1.11545	6.98034e-05
89153	2.15177	1.21769	2.71136
89153	2.06681	1.21756	9.96202e-05
89153	2.09965	1.3393	12.5796
89153	2.07078	1.27218	1.33333
89153	1.8067	1.39573	3.1292
89153	1.84068	1.29594	9.85056e-05
89153	1.8877	1.24913	4.54678
89153	1.89964	1.23452	1.77062
89153	1.90807	1.25815	6.1223
89153	1.92302	1.243	4.44878
89153	2.04199	1.34434	7.79096e-05
89153	2.01425	1.34615	8.59956
89153	1.86418	1.32587	1.71521
89153	1.94211	1.44889	0.891429
89153	1.9265	1.38543	17.0423
89153	1.92722	1.44153	1.60645
