event	Eta	Phi	pT
84462	-0.380868	3.59601	4.67933e-05
84462	-0.419739	3.65468	3.09186
84462	-0.401377	3.76785	15.2799
84462	-0.657	3.3576	1.99434
84462	-0.473637	3.18791	2.92651e-05
84462	-0.20339	3.37934	3.55728e-05
84462	-0.191958	3.32294	1.40645
84462	-0.213206	3.25265	6.01495
84462	-0.252506	3.28392	2.80662
84462	-0.19195	3.53137	4.0048e-05
84462	-0.178995	3.38307	2.83542e-05
84462	-0.223872	3.40024	2.01509
84462	-0.427143	3.33226	4.31908e-05
84462	-0.426614	3.33172	4.08277
84462	-0.373682	3.33058	1.96683
84462	-0.42177	3.47008	3.50593e-05
84462	-0.441116	3.50764	0.990575
84462	-0.416543	3.49835	5.53118
84462	-0.385953	3.39282	0.956711
84462	-0.305578	3.39524	2.74722
84462	-0.335344	3.53952	5.27035e-05
84462	-0.343588	3.48267	3.96895
84462	-0.323839	3.45041	3.07387
