event	Eta	Phi	pT
55945	0.151468	5.47272	2.05688
55945	-0.132826	5.54257	1.56814
55945	0.185668	5.129	4.24362
55945	-0.337171	5.31207	5.18793
55945	0.106822	5.16661	3.36605e-05
55945	-0.165915	5.41059	3.03482e-05
55945	-0.165392	5.36331	4.67131e-05
55945	-0.154113	5.37	13.6512
55945	-0.198012	4.98489	8.38554
55945	-0.134982	4.97809	1.70693
55945	-0.275484	5.10086	4.42006e-05
55945	-0.245166	5.21357	11.7976
55945	-0.114776	5.297	2.25757e-05
55945	-0.152584	5.26515	2.37563
55945	-0.19397	5.21309	4.35768e-05
55945	-0.182709	5.23144	9.63266e-05
55945	-0.169214	5.23479	7.03046
55945	-0.100811	5.24752	4.21665e-05
55945	-0.0931463	5.04529	0.886141
55945	-0.123757	5.08064	2.63911e-05
55945	-0.138796	5.13031	6.91388
55945	-0.00647411	5.20904	6.4549e-05
55945	-0.00711047	5.1827	0.000170762
55945	-0.0327561	5.17571	6.97696e-05
55945	-0.0520536	5.14664	34.6564
