event	Eta	Phi	pT
29422	-0.518613	5.13073	1.57686
29422	0.121214	5.46187	1.7621
29422	-0.0875371	5.64251	1.67644
29422	-0.19714	5.67811	2.81164
29422	-0.256573	5.51145	3.11419
29422	-0.0970834	5.39263	3.65047e-05
29422	-0.298993	5.39903	9.15781e-05
29422	-0.292929	5.45163	14.8929
29422	-0.205238	5.24452	1.90242
29422	-0.156842	5.32568	7.35937
29422	-0.181139	5.32154	5.28764
29422	-0.318464	5.33172	8.41383e-05
29422	-0.310655	5.32787	5.38757e-05
29422	-0.260664	5.32074	6.95071
29422	-0.269963	5.30957	13.2204
29422	-0.184756	5.39973	1.01478
29422	-0.19946	5.34666	8.16396e-05
29422	-0.194718	5.36116	3.21132
29422	-0.215617	5.35093	2.40704
29422	-0.215944	5.37897	3.99792
29422	-0.242705	5.37589	3.50145e-05
29422	-0.237533	5.38218	8.10896
