event	Eta	Phi	pT
43060	-2.22408	4.64496	0.616677
43060	-2.16912	4.12284	3.37284
43060	-2.24143	4.26819	2.34504
43060	-2.07737	4.5587	0.68762
43060	-1.87147	4.53412	1.06462
43060	-1.78147	4.3678	1.12792
43060	-1.96653	4.46262	5.75952
43060	-2.01825	4.44315	1.37965
43060	-2.11213	4.26992	1.2839
43060	-2.06499	4.23556	5.49003e-05
43060	-1.93703	4.36438	7.05607e-05
43060	-2.1061	4.36015	2.37851e-05
43060	-2.04119	4.33417	7.44387e-05
43060	-2.0097	4.31903	20.5453
43060	-2.05635	4.34867	1.46227
43060	-2.05196	4.36164	6.0545
43060	-1.88085	4.28739	2.23799e-05
43060	-1.90163	4.27592	5.37863
