event	Eta	Phi	pT
80110	0.136554	5.05389	2.1892e-05
80110	0.164534	4.532	3.40957
80110	-0.0221552	4.95605	3.87341
80110	-0.124282	4.87383	4.4808e-05
80110	-0.0296049	4.54018	4.00462e-05
80110	0.135955	4.65557	2.10902
80110	-0.186941	4.74216	7.18288e-05
80110	-0.123928	4.65225	2.5053
80110	-0.0581921	4.61223	5.52471
80110	0.0901033	4.70797	2.61254
80110	0.0797604	4.79039	1.72074
80110	-0.0543575	4.65911	2.89061e-05
80110	-0.0678929	4.78087	3.67524e-05
80110	-0.0722551	4.72533	0.000171794
80110	-0.033823	4.74114	30.163
80110	-0.227121	4.82583	1.80329
80110	-0.21506	4.83602	3.45086
