event	Eta	Phi	pT
191655	-1.36631	3.88434	1.74832
191655	-1.5946	4.07498	2.52735e-05
191655	-1.29125	4.48876	2.03034
191655	-1.42274	4.46937	8.23834
191655	-1.34657	4.41432	2.29897
191655	-1.41872	4.08669	5.70234e-05
191655	-1.40309	4.08876	2.22754
191655	-1.30689	4.15681	11.1044
191655	-1.42212	4.41596	1.76176
191655	-1.44285	4.12948	4.09558
191655	-1.32791	4.24689	5.86977e-05
191655	-1.39438	4.36328	2.94346
191655	-1.41303	4.35219	6.05311e-05
191655	-1.42525	4.34766	5.51824
191655	-1.39765	4.31913	6.55173e-05
191655	-1.39407	4.31701	5.75271
191655	-1.47862	4.15335	3.9071e-05
191655	-1.48746	4.27907	4.64869
191655	-1.46998	4.26486	8.80902e-05
191655	-1.47185	4.21567	4.2771e-05
191655	-1.44631	4.23152	24.8728
