event	Eta	Phi	pT
16593	-0.513082	3.46961	2.65711
16593	-0.438461	4.11489	3.83373
16593	-0.692198	3.98917	8.1841
16593	-0.395685	4.03997	2.6276
16593	-0.262378	3.84864	3.62078
16593	-0.545725	3.66032	3.13372
16593	-0.654621	3.80695	3.79282e-05
16593	-0.632321	3.76942	3.12377
16593	-0.48702	3.66861	3.25934e-05
16593	-0.559483	3.71307	4.73682
16593	-0.550294	3.93228	4.14068e-05
16593	-0.502046	3.92773	9.41217
16593	-0.462902	3.70603	3.11842e-05
16593	-0.577949	3.82326	4.6175e-05
16593	-0.498532	3.89731	2.02082
16593	-0.489539	3.72386	0.000103979
16593	-0.441895	3.83679	2.33889e-05
16593	-0.508437	3.82148	2.06234
16593	-0.496423	3.83307	0.000353036
16593	-0.473113	3.80694	61.1645
