event	Eta	Phi	pT
177622	2.2553	5.60672	1.77932
177622	2.53935	5.32226	1.39698
177622	2.08766	5.53868	2.39173
177622	2.42453	5.27611	4.27795
177622	2.39768	5.19651	0.511878
177622	2.32804	5.12538	4.41654e-05
177622	2.11071	5.39151	3.04847e-05
177622	2.31914	5.36598	0.771987
177622	2.20069	5.38873	4.24275
177622	2.20091	5.36113	0.000149268
177622	2.2419	5.35581	0.000129063
177622	2.11902	5.2849	4.51092
177622	2.19133	5.34421	5.84279e-05
177622	2.29641	5.25413	1.549
177622	2.14268	5.27458	2.44316e-05
177622	2.21428	5.18101	1.14743
177622	2.21826	5.25516	2.82171e-05
177622	2.21689	5.2489	57.7019
