event	Eta	Phi	pT
38631	-1.09879	2.01006	8.49999
38631	-0.785926	1.85382	1.78985
38631	-0.726469	1.89234	5.67033
38631	-1.09432	2.1096	2.51618
38631	-0.891734	1.94141	2.63077e-05
38631	-1.07924	2.16839	7.31051e-05
38631	-0.805654	2.40399	2.80804
38631	-0.904348	2.33829	6.57529
38631	-0.92463	2.25493	8.41156e-05
38631	-0.964193	2.22158	8.42991
38631	-0.73695	2.27222	7.32793
38631	-0.689005	2.22725	2.24821
38631	-0.886588	2.14751	3.52715
38631	-0.718003	2.16882	1.69093
38631	-0.70464	2.09646	3.32472e-05
38631	-0.758954	2.05921	8.06607
38631	-0.791347	2.09769	2.77739e-05
38631	-0.748559	2.08874	2.32123e-05
38631	-0.756837	2.11211	8.6681
