event	Eta	Phi	pT
23291	-1.18754	0.990833	1.64535
23291	-1.16861	0.647688	2.06303
23291	-0.960739	1.09116	1.35896
23291	-1.15597	0.825603	2.44326e-05
23291	-0.971375	0.59262	3.07735
23291	-1.10273	0.697754	1.29858
23291	-1.10278	0.878117	3.49613
23291	-1.04714	0.796664	5.78601e-05
23291	-0.83143	0.921552	5.57831
23291	-0.952627	0.88069	1.89146
23291	-0.925197	0.710744	0.895134
23291	-0.95288	0.732419	3.63391e-05
23291	-0.952957	0.784763	3.50169e-05
23291	-0.961871	0.794465	11.0447
23291	-0.931792	0.774836	0.000109005
23291	-0.841612	0.819339	6.09268e-05
23291	-0.874685	0.802986	30.7141
