event	Eta	Phi	pT
29727	0.546518	5.2602	7.21889e-05
29727	0.589361	4.97205	3.19979
29727	-0.131012	5.12669	1.24175
29727	0.567452	5.12374	3.70449e-05
29727	0.52672	4.9404	2.184
29727	0.479555	4.88498	2.90837
29727	0.369238	4.80099	0.000161915
29727	0.337614	4.77506	8.91801
29727	0.351133	4.78264	24.8484
29727	0.412967	5.32876	2.07706
29727	0.341368	5.35287	1.3994
29727	0.137328	5.36611	4.76759
29727	0.0923814	5.34979	2.86627e-05
29727	0.281704	4.83349	3.14937
29727	0.371832	4.89439	7.15613
29727	0.325122	4.86476	23.2374
29727	0.435772	5.05579	1.24486
29727	0.0292523	4.91027	2.86778
29727	0.326632	4.98203	2.7598e-05
29727	0.100621	4.94795	4.33359
29727	0.2838	5.20939	1.12836
29727	0.127084	5.21245	16.7268
29727	0.161717	4.98635	6.23723e-05
29727	0.211292	4.99322	27.0422
29727	0.285402	5.11374	7.14796
29727	0.18136	5.1439	8.82462
29727	0.222421	5.17619	2.21773e-05
29727	0.228388	5.13455	95.8115
29727	0.102665	5.03687	8.43725
29727	0.120806	5.13383	4.01169e-05
29727	0.162553	5.14428	3.26249
29727	0.155859	5.12104	4.15086
29727	0.130643	5.08161	0.00012351
29727	0.181558	5.04578	3.35514
29727	0.15361	5.06204	53.967
29727	0.182469	5.11846	9.28984e-05
29727	0.197223	5.06858	1.28802
29727	0.184971	5.06478	8.73918
29727	0.188566	5.10838	0.000158468
29727	0.15712	5.09879	7.96121e-05
29727	0.193476	5.0871	0.000322131
29727	0.19295	5.0892	0.000214537
29727	0.172462	5.1012	0.000179781
29727	0.183283	5.09997	0.000397678
29727	0.177566	5.09689	0.000271596
29727	0.176647	5.09704	8.09672
29727	0.17221	5.08055	0.00037829
29727	0.177161	5.08749	51.0017
