event	Eta	Phi	pT
9352	-1.17256	1.07609	1.08546
9352	-0.997712	1.24603	5.6678
9352	-0.847096	1.30603	3.18909
9352	-0.668485	1.2693	1.89416
9352	-0.902669	1.26532	2.23366e-05
9352	-0.860568	1.26003	2.77274e-05
9352	-0.93838	1.20412	4.63744
9352	-0.975823	1.13775	4.91869e-05
9352	-0.679744	1.18989	2.15238e-05
9352	-0.898988	0.823126	2.9391e-05
9352	-0.868623	1.14048	2.85255
9352	-0.940693	1.04425	4.48107e-05
9352	-0.933884	1.04647	1.4072
9352	-0.9221	1.05628	12.8868
9352	-0.666188	0.895705	14.4548
9352	-0.86717	1.09838	3.30241
9352	-0.688138	1.06753	1.32495
9352	-0.75021	1.09844	9.77583
9352	-0.906859	1.01906	5.05785
9352	-0.907291	0.946742	5.53382
9352	-0.809095	1.08142	3.7952e-05
9352	-0.827089	1.07134	4.37963
9352	-0.671444	0.967475	0.000166091
9352	-0.823417	0.872053	1.29174
9352	-0.860672	1.01728	6.82337e-05
9352	-0.754752	1.02666	3.1595
9352	-0.733875	1.00107	25.9906
9352	-0.808842	0.906693	6.19748
9352	-0.787587	0.956797	0.000273712
9352	-0.771935	0.930908	27.6924
9352	-0.772278	0.944737	4.26212
9352	-0.770301	0.979981	8.55814e-05
9352	-0.790075	0.976946	8.78656
9352	-0.79838	0.950385	9.54455
9352	-0.833116	0.971343	5.92363e-05
9352	-0.817365	0.972636	3.83688
9352	-0.81388	0.966733	21.4455
