event	Eta	Phi	pT
46192	1.65158	6.00541	3.38139
46192	1.64809	5.81795	26.4375
46192	1.64499	5.83858	1.46755
46192	1.76157	5.56793	0.918672
46192	2.41203	5.83968	0.780325
46192	2.28059	5.6247	0.694065
46192	2.27447	5.91548	2.95944e-05
46192	2.25238	5.73596	1.9595
46192	1.98948	5.63158	0.968632
46192	1.93166	5.69521	1.59645
46192	2.00169	5.68734	3.90809
46192	2.16572	5.93493	2.01801
46192	2.14411	5.9519	2.74282e-05
46192	1.94734	5.74945	2.11486
46192	1.95269	5.90495	3.51203
46192	1.95449	5.83899	3.5962
46192	1.9994	5.77706	3.58776e-05
46192	2.05888	5.80739	0.000287128
46192	2.05013	5.85844	25.0915
