event	Eta	Phi	pT
98395	-1.2819	1.73246	2.4605e-05
98395	-1.393	1.63841	9.10473e-05
98395	-1.45027	1.50196	8.69838
98395	-1.32003	1.57476	3.51632
98395	-0.911266	1.47875	1.11537
98395	-1.16419	1.62333	2.12713e-05
98395	-1.12768	1.59121	5.50534e-05
98395	-1.08435	1.5577	1.81299
98395	-1.13219	1.51486	2.65105
98395	-1.06024	1.4371	2.19098e-05
98395	-1.06405	1.40967	11.2338
98395	-1.25424	1.44657	2.76282e-05
98395	-1.25695	1.34256	7.91133
98395	-1.23695	1.27295	0.000105611
98395	-1.16718	1.2741	12.6041
98395	-1.14696	1.27367	1.96673
