event	Eta	Phi	pT
68906	-0.745827	5.30985	2.11039e-05
68906	-0.508804	5.66384	2.46652e-05
68906	-0.615968	5.51251	0.947552
68906	-0.562241	5.31239	2.5299
68906	-0.452912	5.18124	34.5953
68906	-0.482702	5.53738	3.60071
68906	-0.491562	5.31835	1.44151
68906	-0.428154	5.50494	4.53505
68906	-0.318333	5.54251	5.66969
68906	-0.447999	5.24954	0.000101844
68906	-0.446728	5.45791	10.1358
68906	-0.47621	5.34006	5.9211e-05
68906	-0.463234	5.40018	4.3367e-05
68906	-0.252187	5.48877	5.77312
68906	-0.428055	5.3346	5.63626
68906	-0.411763	5.32018	7.72366
68906	-0.168535	5.35636	2.08623e-05
68906	-0.292379	5.44803	4.8823
68906	-0.35442	5.37916	5.24192
68906	-0.312579	5.37304	0.000596286
68906	-0.279902	5.34105	67.2036
