event	Eta	Phi	pT
27177	-1.7763	1.45895	14.3925
27177	-1.68405	1.51722	3.65909
27177	-1.6837	1.5385	2.53413
27177	-1.53127	1.74939	4.04455
27177	-1.55454	2.06595	2.37166e-05
27177	-1.7644	1.56876	5.71552e-05
27177	-1.84687	1.66366	3.60123e-05
27177	-1.97794	1.93744	2.0331
27177	-1.96743	1.86961	2.21357
27177	-1.96207	1.91447	0.675786
27177	-1.8693	1.82772	3.94312
27177	-1.85728	1.84551	1.9776
27177	-1.88715	1.84536	6.36897
27177	-1.91483	1.85894	4.65511
27177	-1.87831	1.90075	15.9084
27177	-1.8734	1.913	17.076
