event	Eta	Phi	pT
393	0.510595	1.05191	1.40952
393	0.899	1.52427	2.30225e-05
393	0.881027	1.44859	8.35678
393	0.8904	1.43803	5.7186
393	0.627759	0.947904	2.10284
393	0.606683	0.982155	2.78329e-05
393	0.566698	1.09859	2.13018e-05
393	0.622827	1.18708	0.984375
393	0.631216	1.19643	1.23141
393	0.660542	1.22636	2.25421e-05
393	0.820739	1.27039	6.53364
393	0.959602	1.02835	2.27593e-05
393	0.839601	1.02383	2.83803
393	0.78912	1.09569	6.80549e-05
393	0.856359	1.1506	29.7687
393	0.804547	1.09004	1.9172
393	0.854089	1.05226	4.85763e-05
393	0.839594	1.09627	0.00020797
393	0.850383	1.08434	22.9552
