event	Eta	Phi	pT
84254	1.51954	0.117673	7.78343
84254	1.4801	0.329536	3.67854e-05
84254	1.48041	0.596128	7.10791
84254	1.66991	0.683251	2.4802e-05
84254	1.71818	0.585411	12.5279
84254	1.76532	0.528105	4.65753
84254	1.73499	0.549254	4.96773
84254	1.71053	0.35201	5.21631
84254	1.62929	0.573103	4.88411e-05
84254	1.56598	0.518369	0.000125499
84254	1.67042	0.471773	6.47038e-05
84254	1.60885	0.49817	11.6179
84254	1.63372	0.494981	8.28242
84254	1.55116	0.429783	3.06708
84254	1.66602	0.415592	3.62683
84254	1.64349	0.404779	4.77822
84254	1.58872	0.409098	4.27472
84254	1.60949	0.440689	17.3888
