event	Eta	Phi	pT
35842	-1.38318	4.88703	1.9862
35842	-1.66159	5.41293	3.55735
35842	-1.62852	5.32068	5.9143
35842	-1.61666	5.26435	5.5693
35842	-1.59198	5.25545	13.5893
35842	-1.52694	5.09833	5.47685
35842	-1.60072	5.17469	6.10331e-05
35842	-1.66945	5.21093	2.09161e-05
35842	-1.68583	5.1973	7.21687
35842	-1.63975	5.13384	3.97354
35842	-1.74683	5.11605	0.000111764
35842	-1.77937	5.16056	20.3155
35842	-1.66615	5.12213	4.84343
35842	-1.67537	5.09275	7.70642e-05
35842	-1.71024	4.84581	1.86169
35842	-1.75	5.10531	5.47387e-05
35842	-1.69228	4.89157	1.34902
35842	-1.71102	5.07335	0.000131969
35842	-1.66834	4.97543	10.4191
35842	-1.71041	5.05545	1.17214
35842	-1.76848	5.05414	0.000327306
35842	-1.78064	5.04612	3.34597
35842	-1.78045	4.97031	33.199
