event	Eta	Phi	pT
18070	-0.0687772	5.15866	5.55327
18070	0.164497	5.32925	0.980156
18070	0.265501	5.29977	2.77447
18070	0.14129	5.28754	2.92022
18070	0.0326336	5.04746	2.36237e-05
18070	0.167145	5.11231	0.000263955
18070	0.131043	5.10476	2.82443e-05
18070	0.115302	5.13216	21.3061
18070	0.204134	4.70199	3.14219e-05
18070	0.104043	4.82392	8.93129
18070	0.14167	5.01594	2.25867e-05
18070	0.228352	5.06601	4.36593
18070	0.239248	4.96163	2.8753
18070	0.240807	4.9413	1.19261
18070	0.268582	5.00445	0.996604
18070	0.269697	4.94492	0.000356537
18070	0.340428	5.00107	1.74534
18070	0.347241	4.94091	27.8629
