event	Eta	Phi	pT
20558	-0.684196	1.90868	1.29131
20558	-0.703396	1.90574	2.92658
20558	-0.618619	1.8472	1.00041
20558	-0.866998	1.8305	1.91104
20558	-0.74353	1.82289	0.0001366
20558	-0.71973	1.78816	11.2696
20558	-0.701822	1.36123	3.4468
20558	-0.83229	1.70775	2.95326
20558	-0.709302	1.53863	2.29715e-05
20558	-0.829864	1.5092	56.6997
20558	-0.783016	1.65186	1.76072
20558	-0.850395	1.61371	8.40504e-05
20558	-0.758489	1.55746	2.79581e-05
20558	-0.783104	1.63636	5.96849
20558	-0.783545	1.59263	5.55842
20558	-0.802933	1.5952	0.000199379
20558	-0.784256	1.58443	0.000244013
20558	-0.805056	1.5728	5.08772
20558	-0.796338	1.57394	46.6578
20558	-0.798711	1.6214	13.1457
20558	-0.794335	1.6122	19.2884
