event	Eta	Phi	pT
68466	-0.692498	3.64312	2.26483e-05
68466	-0.716099	3.55955	0.000175935
68466	-0.714762	3.58244	19.4879
68466	-0.742242	3.38745	3.0429
68466	-0.991315	3.15723	6.28985
68466	-1.17557	3.19428	2.01344
68466	-1.10196	3.28832	3.12343e-05
68466	-0.865332	3.47248	1.64971
68466	-1.15431	3.57925	3.14242
68466	-1.1827	3.49206	2.51498e-05
68466	-1.18622	3.49829	2.34047
68466	-1.07176	3.58931	4.6159e-05
68466	-1.03882	3.58197	6.50814
68466	-1.12994	3.53932	1.75644
68466	-1.05371	3.3888	1.66598
68466	-1.00711	3.43987	3.78849
68466	-1.02693	3.50152	2.06427e-05
68466	-1.06878	3.48683	4.5358
68466	-1.05463	3.46049	9.83543
