event	Eta	Phi	pT
81928	-1.46152	3.97725	1.35755
81928	-1.39609	4.07646	1.37705
81928	-1.72326	4.49685	5.45243
81928	-1.80557	4.36722	4.5513e-05
81928	-1.82163	4.21525	4.55744e-05
81928	-1.75808	4.11644	2.05676
81928	-1.81334	4.27838	1.54015
81928	-1.56166	4.1034	9.34449
81928	-1.73236	4.40787	3.15651
81928	-1.76741	4.25324	2.14665
81928	-1.74224	4.1995	4.57093
81928	-1.50271	4.25804	3.51859
81928	-1.59924	4.21329	4.24653
81928	-1.6598	4.33509	1.04062
81928	-1.55555	4.23205	0.000182133
81928	-1.57	4.25809	9.98028
81928	-1.55846	4.3282	8.43006
81928	-1.60382	4.29058	3.81559
81928	-1.61127	4.31022	16.8911
