event	Eta	Phi	pT
73904	-1.51241	4.16427	1.90228
73904	-1.33212	3.65162	3.01687
73904	-1.33318	3.89189	2.46758e-05
73904	-1.5022	3.55881	1.3258
73904	-1.58481	3.55518	3.00229
73904	-1.42946	3.67841	2.21335
73904	-1.85753	3.84631	2.26836
73904	-1.70314	3.73457	0.000182005
73904	-1.67909	3.67343	11.0419
73904	-1.40388	3.89981	2.85111e-05
73904	-1.61486	3.71613	2.74133e-05
73904	-1.62189	3.78861	4.06774e-05
73904	-1.5713	3.80363	7.61199
73904	-1.63623	3.83865	1.70133
73904	-1.64982	3.86965	1.71776
73904	-1.60053	3.90136	8.59629e-05
73904	-1.6283	3.92624	8.65612
73904	-1.62826	3.96405	1.60202
73904	-1.62946	3.9728	10.7026
