event	Eta	Phi	pT
65974	0.667086	2.9589	6.4863
65974	0.791274	2.95039	4.20148e-05
65974	0.857084	2.98914	10.2702
65974	0.677579	3.03742	9.4404e-05
65974	0.691402	3.03067	5.98052e-05
65974	0.700388	3.03722	3.29782
65974	0.587196	3.14206	4.69988e-05
65974	0.863797	3.09852	9.94951e-05
65974	0.664937	3.12508	5.08476
65974	0.796308	3.10767	6.27854e-05
65974	0.844207	3.18654	6.48868
65974	0.695432	3.16439	4.73627e-05
65974	0.739492	3.15458	0.000141432
65974	0.744323	3.19052	13.6981
65974	0.876498	3.55105	1.76475
65974	0.592888	3.40086	2.55764
65974	0.855375	3.45155	1.10067
65974	0.772293	3.42841	8.79532e-05
65974	0.770238	3.39647	35.3847
