event	Eta	Phi	pT
51857	0.72975	3.6254	2.64396
51857	0.774896	3.58676	2.59384
51857	0.711329	3.59472	6.9276
51857	0.454669	3.44291	8.01967
51857	0.603525	3.47247	3.7652e-05
51857	0.543551	3.44797	1.31226
51857	0.5686	3.09499	3.46956
51857	0.588283	3.09944	3.29424
51857	0.555381	3.10979	4.42247
51857	0.485446	3.33926	7.60967
51857	0.617141	3.21152	0.000197651
51857	0.582519	3.25068	4.62651
51857	0.472301	3.21072	4.70278e-05
51857	0.57073	3.18778	0.994801
51857	0.517333	3.2647	4.1821e-05
51857	0.569727	3.22189	0.000167369
51857	0.500499	3.23602	7.90481e-05
51857	0.526308	3.21772	17.8242
51857	0.574985	3.33387	3.28352e-05
51857	0.577475	3.32703	8.85377e-05
51857	0.608471	3.29067	11.6067
51857	0.687771	3.2871	22.1268
