event	Eta	Phi	pT
13647	-0.634699	4.08764	3.79823
13647	-0.683171	4.0059	2.52696e-05
13647	-0.677542	3.76008	2.71628e-05
13647	-0.666726	3.6822	1.67404
13647	-0.685043	3.71784	12.8513
13647	-0.264944	3.48686	4.86479
13647	-0.448461	3.55413	2.1908
13647	-0.380036	3.62564	10.3404
13647	-0.507207	3.73239	4.72919e-05
13647	-0.281815	3.67668	4.97529
13647	-0.355864	4.07423	3.75929
13647	-0.426454	3.84613	2.90589e-05
13647	-0.28606	3.76879	2.19369e-05
13647	-0.300337	3.84481	6.19917e-05
13647	-0.294158	3.90225	24.856
