event	Eta	Phi	pT
71103	-0.726481	6.2815	4.69651e-05
71103	-0.741871	6.10047	2.43948e-05
71103	-1.05961	0.114352	4.07439
71103	-1.01594	0.0749903	26.8773
71103	-1.10855	6.06885	11.042
71103	-0.926871	6.12679	5.30404
71103	-1.01181	0.00392626	9.37068e-05
71103	-1.00466	6.09355	3.48166
71103	-0.976863	6.23377	5.94056e-05
71103	-0.967522	6.14029	3.26252e-05
71103	-1.08826	6.19231	4.48027e-05
71103	-1.07716	6.20358	4.27862e-05
71103	-1.02712	6.12995	1.43425
71103	-1.00835	6.15832	0.000113042
71103	-1.00582	6.1522	40.5227
71103	-1.04163	6.15428	9.58769
71103	-1.05461	6.15678	30.2661
71103	-1.0459	6.16524	5.08225
71103	-0.988066	6.16646	1.96022
71103	-0.99074	6.22945	0.000124151
71103	-1.06198	6.21098	6.10286e-05
71103	-1.06025	6.20109	7.86927
71103	-1.03295	6.16429	0.000170095
71103	-1.02416	6.16586	7.00027e-05
71103	-1.03843	6.18368	5.46182
71103	-1.01414	6.2222	0.000125876
71103	-1.03564	6.19035	0.000215348
71103	-1.02266	6.20825	3.94294
71103	-1.02082	6.20125	82.795
