event	Eta	Phi	pT
50900	0.349923	5.48161	3.31345e-05
50900	0.370751	5.35383	6.63102e-05
50900	0.374962	5.30011	13.1942
50900	0.356021	5.41371	3.57822
50900	0.373194	5.39696	5.70206
50900	0.817846	5.69948	5.72534e-05
50900	0.641123	5.64838	11.0499
50900	0.966222	5.58167	3.10373e-05
50900	0.953646	5.53016	4.00959
50900	1.01825	5.393	2.10276
50900	0.956466	5.41533	3.56312
50900	0.681242	5.49274	6.13751e-05
50900	0.637181	5.36012	9.18889
50900	0.704235	5.34852	5.11598e-05
50900	0.74012	5.17633	11.8226
50900	0.668981	5.27181	0.000135529
50900	0.679219	5.24267	2.35708
50900	0.702047	5.23266	7.40127
