event	Eta	Phi	pT
74895	-2.05741	3.10386	0.775975
74895	-1.34564	3.30496	4.07944e-05
74895	-1.80035	2.95265	1.41389
74895	-1.76359	2.95436	1.04754
74895	-2.02327	3.22814	3.67513
74895	-1.82121	3.0265	8.43763e-05
74895	-1.80735	3.02009	15.3956
74895	-1.79612	3.06858	3.65418e-05
74895	-1.61819	3.06361	3.88456e-05
74895	-1.88903	3.25675	0.940671
74895	-1.87929	3.28931	5.47092
74895	-1.84337	3.25183	1.23451
74895	-1.85736	3.34214	3.48916
74895	-1.79606	3.25032	1.2176
74895	-1.78785	3.32192	1.74968
74895	-1.75443	3.26163	1.7346
74895	-1.66995	3.3345	41.9317
74895	-1.68285	3.35096	0.000485881
74895	-1.68059	3.34575	75.3834
