event	Eta	Phi	pT
94101	-1.20362	3.45532	3.46383e-05
94101	-1.52239	3.46954	3.24666e-05
94101	-1.18947	3.39277	2.1404
94101	-1.23414	3.41523	2.57447
94101	-1.45108	3.4473	2.82536
94101	-1.28208	3.42418	1.31461
94101	-1.18339	3.30429	0.928917
94101	-1.28548	3.36365	2.76669
94101	-1.28515	2.98994	1.77657
94101	-1.27066	3.17752	2.77248e-05
94101	-1.29702	3.10047	1.83001
94101	-1.51604	3.22364	2.68184
94101	-1.38126	3.27813	1.44689
94101	-1.45243	3.16622	0.000294113
94101	-1.43442	3.14361	2.09887
94101	-1.41746	3.16397	16.1356
94101	-1.40392	3.17129	25.7118
