event	Eta	Phi	pT
69207	0.533647	3.18077	2.64458e-05
69207	0.329819	3.71347	3.58362
69207	0.492036	3.52878	2.62784
69207	0.0301745	3.46156	1.65578
69207	0.214117	3.55122	2.53066
69207	0.299863	3.53333	10.0531
69207	0.301059	3.20439	6.01503
69207	0.354827	3.31656	2.74153
69207	0.299812	3.40769	5.99745e-05
69207	0.306101	3.40938	3.21935
69207	0.291422	3.39966	3.28861e-05
69207	0.200518	3.37075	0.0002292
69207	0.167839	3.39098	4.54571
69207	0.181133	3.39125	17.3553
69207	0.242003	3.28468	2.83306e-05
69207	0.234236	3.32778	29.6803
