event	Eta	Phi	pT
60947	-0.0726971	4.81485	4.25158
60947	-0.0282979	4.99661	4.19767e-05
60947	-0.0242966	4.91188	4.42042
60947	-0.0046317	4.90299	10.1991
60947	-0.439323	4.85484	1.40408
60947	-0.306294	4.86595	1.23803
60947	-0.266767	4.86891	1.34235
60947	-0.373645	4.78706	1.98725
60947	-0.256621	4.61793	3.20713
60947	-0.315387	4.66761	3.03632
60947	-0.307991	4.63524	5.64857
60947	-0.195724	4.73098	3.18979
60947	-0.166337	4.71482	5.74479e-05
60947	-0.145857	4.61207	2.45949
60947	-0.173996	4.56231	4.32542e-05
60947	-0.109982	4.5963	2.70777
60947	-0.119222	4.55726	4.00244
60947	-0.140469	4.56436	6.56159
