event	Eta	Phi	pT
21264	2.31169	5.49904	3.59501e-05
21264	2.32694	5.88631	2.42562
21264	2.28328	5.91312	2.29863
21264	2.30699	5.71171	2.28462e-05
21264	2.25217	5.71957	4.89615
21264	2.10814	5.57518	2.73357
21264	2.17886	5.66127	7.75645e-05
21264	2.15396	5.66259	2.60723e-05
21264	2.06963	5.97993	2.11774
21264	2.16156	5.86234	4.04344
21264	2.11891	5.70276	2.69886e-05
21264	2.03686	5.89515	4.16218
21264	1.9337	5.87941	2.10561
21264	1.99837	5.681	5.07084e-05
21264	1.88935	5.79391	0.739726
21264	1.95286	5.7362	1.23316
21264	1.97841	5.77398	3.51594
21264	1.9635	5.75807	13.5825
21264	1.96434	5.76061	11.3918
