event	Eta	Phi	pT
91988	0.780335	2.09914	2.86622e-05
91988	1.09941	2.45875	3.49656e-05
91988	0.965224	2.55352	3.05926
91988	0.767089	2.41934	1.84208
91988	1.00833	2.41112	2.98658e-05
91988	0.990519	2.35514	3.49892
91988	0.945479	2.35168	0.000151911
91988	0.877822	2.3104	23.0208
91988	1.17773	2.46305	2.61992e-05
91988	1.08343	1.86286	2.0177
91988	1.0256	2.18797	2.90329
91988	1.29966	1.97101	4.4467
91988	1.03884	2.16157	2.3438e-05
91988	1.19657	1.99614	2.58354
91988	1.26439	2.09536	4.79381e-05
91988	1.19514	2.14774	2.48142
91988	1.19518	2.13886	2.67912
91988	1.20277	2.13841	20.3822
