event	Eta	Phi	pT
54522	0.00320408	1.20267	2.12915e-05
54522	-0.394019	1.193	1.38206
54522	-0.0846362	1.19026	2.09667
54522	0.0549895	1.4632	1.37989
54522	0.0287493	1.37947	1.44811
54522	-0.386857	1.27607	3.12184e-05
54522	-0.331292	1.28251	3.42105e-05
54522	-0.232476	1.28856	2.98893
54522	-0.268951	1.25986	3.84768e-05
54522	-0.23945	1.26087	4.46921e-05
54522	-0.245662	1.26325	18.847
54522	-0.201737	1.33361	0.000106124
54522	-0.195689	1.34438	2.99457
54522	-0.299465	1.41533	3.16854e-05
54522	-0.205863	1.41372	20.5431
54522	-0.33679	1.44897	2.09314e-05
54522	-0.262103	1.60457	4.04262
54522	-0.261113	1.57825	16.4048
54522	-0.240872	1.56959	0.000258527
54522	-0.227177	1.55156	41.8718
